timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1742817529989,593,Vote,201,,Grupo de Usuários 1-52,text,true,,273,267,114,114,http://localhost:8080/v1/vote/1,593,0,2
1742817529986,599,Vote,201,,Grupo de Usuários 1-51,text,true,,273,267,117,117,http://localhost:8080/v1/vote/1,599,0,1
1742817530001,586,Vote,201,,Grupo de Usuários 1-54,text,true,,273,267,117,117,http://localhost:8080/v1/vote/1,584,0,2
1742817529995,621,Vote,201,,Grupo de Usuários 1-53,text,true,,273,267,124,124,http://localhost:8080/v1/vote/1,620,0,2
1742817530006,610,Vote,201,,Grupo de Usuários 1-55,text,true,,273,267,124,124,http://localhost:8080/v1/vote/1,609,0,1
1742817530021,605,Vote,201,,Grupo de Usuários 1-58,text,true,,273,267,124,124,http://localhost:8080/v1/vote/1,604,0,1
1742817530025,601,Vote,201,,Grupo de Usuários 1-59,text,true,,273,267,124,124,http://localhost:8080/v1/vote/1,600,0,1
1742817530017,609,Vote,201,,Grupo de Usuários 1-57,text,true,,273,267,124,124,http://localhost:8080/v1/vote/1,608,0,2
1742817530029,597,Vote,201,,Grupo de Usuários 1-60,text,true,,273,267,124,124,http://localhost:8080/v1/vote/1,596,0,2
1742817530011,615,Vote,201,,Grupo de Usuários 1-56,text,true,,273,267,124,124,http://localhost:8080/v1/vote/1,614,0,3
1742817530034,660,Vote,201,,Grupo de Usuários 1-61,text,true,,273,267,133,133,http://localhost:8080/v1/vote/1,659,0,2
1742817530040,663,Vote,201,,Grupo de Usuários 1-62,text,true,,273,267,133,133,http://localhost:8080/v1/vote/1,663,0,1
1742817530046,666,Vote,201,,Grupo de Usuários 1-63,text,true,,273,267,134,134,http://localhost:8080/v1/vote/1,665,0,2
1742817530055,663,Vote,201,,Grupo de Usuários 1-65,text,true,,273,267,134,134,http://localhost:8080/v1/vote/1,662,0,2
1742817530048,670,Vote,201,,Grupo de Usuários 1-64,text,true,,273,267,134,134,http://localhost:8080/v1/vote/1,669,0,3
1742817530070,659,Vote,201,,Grupo de Usuários 1-68,text,true,,273,267,134,134,http://localhost:8080/v1/vote/1,659,0,3
1742817530080,651,Vote,201,,Grupo de Usuários 1-70,text,true,,273,267,134,134,http://localhost:8080/v1/vote/1,649,0,15
1742817530059,676,Vote,201,,Grupo de Usuários 1-66,text,true,,273,267,133,133,http://localhost:8080/v1/vote/1,675,0,2
